Count,Timestamp,"What location is this salary for? Select Remote-US if applicable. If Remote Canada, select Canadian HQ location. ",Position Title,"Base Salary $ (please quote in CAD) eg. 120,000 please DO NOT put ranges","Equity value (please quote into monetary value) eg. 20,000","Bonus, including sign on bonus $ (please quote in CAD, 0 if none) eg. 20,000",Other cash or equity,Total Compensation,"Years of Experience,  please include internships and co-ops eg. 1, 2.5, 5","Highest Education Achieved (most relevant, if possible)",Did you attend a tech bootcamp?,What year is this salary applicable for? ,Industry,"If you selected ""Other"" for industry, what industry is it?","Is this company considered to be FAANG/MMANGA (Microsoft, Apple, Amazon, Google, Facebook/Meta)",Company Size,,,Company Name (optional) 
11,12/7/2021 16:13:48,Alberta (AB),Software Developer,"$45,000.00",$0.00,"$5,000.00",,"$50,000.00",0,Diploma - Related,Unknown,2017,Transportation,,No,< 10,,,
12,12/7/2021 16:14:32,Alberta (AB),Software Developer,"$60,000.00",$0.00,$0.00,0,"$60,000.00",1,Bachelor's Degree - Related,Unknown,2017,Tech,,No,11-50,,,
13,12/7/2021 16:15:25,Alberta (AB),Software Developer,"$85,000.00",$0.00,"$10,000.00",,"$95,000.00",3,Bachelor's Degree - Related,Unknown,2020,Tech,,No,11-50,,,
14,12/7/2021 16:16:21,Alberta (AB),Software Engineer,"$140,000.00",$0.00,$0.00,,"$140,000.00",4,Bachelor's Degree - Related,Unknown,2021,Tech,,No,11-50,,,
15,12/7/2021 16:17:02,Alberta (AB),Software Developer,"$100,000.00",$0.00,$0.00,,"$100,000.00",3,Bachelor's Degree - Related,Unknown,2021,Other,,No,501-1000,,,
16,12/7/2021 16:17:38,Alberta (AB),Software Developer,"$65,000.00",$0.00,$0.00,,"$65,000.00",1,Bachelor's Degree - Related,Unknown,2021,Tech,,No,501-1000,,,
17,12/7/2021 16:19:21,Alberta (AB),Full Stack Software Developer,"$95,000.00",$0.00,$0.00,,"$95,000.00",6,Bachelor's Degree - Related,Unknown,2021,Other,Internet Of Things,No,51-100,,,
18,12/7/2021 16:20:18,Alberta (AB),Software Developer 1,"$73,000.00",$0.00,$0.00,2000,"$75,000.00",1,Bachelor's Degree - Unrelated,Unknown,2021,Tech,,No,501-1000,,,
19,12/7/2021 16:21:18,Manitoba (MB),Software Developer 2,"$80,000.00",$0.00,"$10,000.00",,"$90,000.00",1.5,Bachelor's Degree - Related,Unknown,2021,Tech,,No,1000+,,,
20,12/7/2021 16:23:04,Ontario (ON),Software Developer,"$70,000.00",$0.00,$0.00,,"$70,000.00",1.5,Bachelor's Degree - Related,Unknown,2020,Tech,,No,101-200,,,
21,12/7/2021 16:23:52,Ontario (ON),Software Developer,"$75,000.00",$0.00,$0.00,,"$75,000.00",1.5,Bachelor's Degree - Related,Unknown,2020,Consulting,,No,101-200,,,
22,12/7/2021 16:26:04,Ontario (ON),Software Developer,"$75,000.00",$0.00,$0.00,,"$75,000.00",1.5,Bachelor's Degree - Related,Unknown,2020,ERP or CRM,,No,< 10,,,
23,12/7/2021 16:26:45,Ontario (ON),Software Developer,"$80,000.00","$2,000.00",$0.00,,"$82,000.00",1.5,Bachelor's Degree - Related,Unknown,2020,FinTech,,No,51-100,,,
24,12/7/2021 16:28:13,Ontario (ON),Software Developer,"$102,000.00","$75,000.00","$25,000.00",27000,"$229,000.00",1.5,Bachelor's Degree - Related,Unknown,2020,Tech,,Yes,1000+,,,
25,12/7/2021 16:29:36,Ontario (ON),Software Developer,"$80,000.00",$0.00,$0.00,,"$80,000.00",2,Diploma - Related,Unknown,2021,Other,,No,1000+,,,
26,12/7/2021 16:30:27,Ontario (ON),Software Engineer,"$74,000.00",$0.00,$0.00,0,"$74,000.00",2,Bachelor's Degree - Related,Unknown,,Education,,No,101-200,,,
27,12/7/2021 16:31:29,Remote - US,Frontend Engineer,"$96,000.00",$0.00,$0.00,,"$96,000.00",0.4,Masters - Unrelated,Unknown,2021,Tech,,No,11-50,,,
28,12/7/2021 16:33:33,Ontario (ON),Software Developer,"$50,000.00",$0.00,$0.00,,"$50,000.00",0.25,Diploma - Related,Unknown,2019,Telecommunication,,No,51-100,,,
29,12/7/2021 16:34:14,Ontario (ON),Software Developer,"$90,000.00",$0.00,$0.00,,"$90,000.00",2.5,Bachelor's Degree - Related,Unknown,2021,Government,,No,501-1000,,,
30,12/7/2021 16:35:20,Ontario (ON),Senior Software Developer,"$98,000.00",$0.00,$0.00,,"$98,000.00",2.5,Bachelor's Degree - Related,Unknown,2021,Consulting,,No,11-50,,,
31,12/7/2021 16:36:26,Ontario (ON),Full Stack Software Engineer,"$110,000.00",$0.00,$0.00,,"$110,000.00",2,Bachelor's Degree - Related,Unknown,2021,Tech,,No,201-300,,,
32,12/7/2021 16:37:33,Ontario (ON),Software Development Engineer 2,"$141,000.00",$0.00,$0.00,,"$141,000.00",5.5,Bachelor's Degree - Related,Unknown,2021,eCommerce,,No,1000+,,,
33,12/7/2021 16:38:45,Ontario (ON),Research Engineer (AI/ML),"$133,000.00",$0.00,$0.00,"$7,000.00","$140,000.00",2.25,Masters - Related,Unknown,2021,Education,,No,501-1000,,,
34,12/7/2021 16:39:28,Ontario (ON),Software Engineer,"$75,000.00",$0.00,$0.00,,"$75,000.00",0.5,Diploma - Related,Unknown,2019,Health & Medicine,,No,11-50,,,
35,12/7/2021 16:40:59,Ontario (ON),Software Engineer,"$140,000.00",$0.00,$0.00,,"$140,000.00",0,Bachelor's Degree - Related,Unknown,2021,Tech,,No,501-1000,,,
36,12/7/2021 16:41:57,Ontario (ON),Software Engineer,"$145,000.00",$0.00,"$21,750.00",,"$166,750.00",3,Bachelor's Degree - Related,Unknown,2020,Consulting,,No,501-1000,,,
37,12/7/2021 16:43:11,Ontario (ON),Software Engineer,"$95,000.00","$30,000.00","$7,600.00","$8,000.00","$140,600.00",1.5,Masters - Related,Unknown,,Tech,,No,501-1000,,,
38,12/7/2021 16:44:53,Remote - US,Research Engineer (AI/ML),"$150,000.00",$0.00,$0.00,,"$150,000.00",4,Bachelor's Degree - Related,Unknown,2021,Tech,,No,11-50,,,
39,12/7/2021 16:46:31,Remote - US,Junior Developer,"$168,000.00","$35,000.00","$30,000.00",,"$233,000.00",1.5,Bachelor's Degree - Related,Unknown,2021,FinTech,,No,501-1000,,,
40,12/7/2021 16:48:10,Ontario (ON),Backend Developer,"$100,000.00",$0.00,$0.00,,"$100,000.00",13,Bachelor's Degree - Related,Unknown,2021,ERP or CRM,,No,201-300,,,
41,12/7/2021 16:52:00,Remote - US,Software Engineer,"$130,000.00",$0.00,$0.00,,"$130,000.00",1.5,Bachelor's Degree - Related,Unknown,2021,Tech,,No,11-50,,,
42,12/7/2021 16:52:44,Quebec (QC),L1 Developer,"$53,000.00",$0.00,$0.00,,"$53,000.00",0,Diploma - Related,Unknown,2020,Other,Insurance,No,501-1000,,,
43,12/7/2021 16:53:32,Quebec (QC),Software Developer,"$65,000.00",$0.00,$0.00,,"$65,000.00",0.75,Bachelor's Degree - Related,Unknown,2021,Tech,,No,201-300,,,
44,12/7/2021 16:54:41,Quebec (QC),Embedded SDET,"$85,000.00",$0.15,$0.10,,"$85,000.25",4,Bachelor's Degree - Related,Unknown,2021,Other,Semiconductors,No,501-1000,,,
45,12/7/2021 16:55:25,Quebec (QC),Software Developer,"$90,000.00",$0.00,"$7,000.00",,"$97,000.00",2,Bachelor's Degree - Related,Unknown,2021,Tech,,No,501-1000,,,
46,12/7/2021 16:56:14,New Brunswick (NB),Software Developer,"$80,000.00",$0.00,$0.03,,"$80,000.03",7,Bachelor's Degree - Related,Unknown,2021,Oil and Gas/Energy,,No,51-100,,,
47,12/7/2021 16:56:52,Prince Edward Island (PEI),Senior Developer,"$103,000.00",$0.00,$0.20,,"$103,000.20",6,Diploma - Related,Unknown,2020,Video Games,,No,51-100,,,
48,12/7/2021 16:57:43,Prince Edward Island (PEI),Junior Developer,"$35,000.00",$0.00,$0.00,,"$35,000.00",1,Diploma - Related,Unknown,2021,Health & Medicine,,No,11-50,,,
49,12/7/2021 16:58:21,Ontario (ON),Solutions Engineer,"$85,000.00",$0.00,$0.00,,"$85,000.00",6,Bachelor's Degree - Related,Unknown,2021,Tech,,No,1000+,,,
50,12/7/2021 16:59:05,British Columbia (BC),Software Engineer 2,"$98,000.00",$0.00,$0.00,,"$98,000.00",2,Bachelor's Degree - Unrelated,Unknown,,FinTech,,No,501-1000,,,
51,12/7/2021 16:59:59,British Columbia (BC),Software Developer Engineer 1,"$150,000.00",$0.00,$0.00,,"$150,000.00",2,Bachelor's Degree - Related,Unknown,2021,Tech,,Yes,1000+,,,
52,12/7/2021 17:00:42,British Columbia (BC),Software Development Engineer 1,"$145,000.00",$0.00,$0.00,,"$145,000.00",1.5,Bachelor's Degree - Related,Unknown,2021,Tech,,Yes,1000+,,,
53,12/7/2021 17:01:45,British Columbia (BC),Full Stack Developer,"$105,000.00",$0.00,$0.00,,"$105,000.00",3,Bachelor's Degree - Related,Unknown,2021,Tech,,No,501-1000,,,
54,12/7/2021 17:02:25,British Columbia (BC),QA Engineer,"$80,000.00",$0.00,$0.00,,"$80,000.00",1.5,High School Diploma Only,Yes,2021,Tech,,No,11-50,,,
55,12/7/2021 17:02:59,British Columbia (BC),Fullstack Developer,"$44,000.00",$0.00,$0.00,,"$44,000.00",0,Bachelor's Degree - Related,Unknown,2021,Tech,,No,< 10,,,
56,12/7/2021 17:03:50,Alberta (AB),Data Analyst,"$55,000.00",$0.00,$0.00,,"$55,000.00",0,Certificate - Related,Unknown,2021,FinTech,,No,201-300,,,
57,12/7/2021 17:04:30,Alberta (AB),Software Developer,"$65,000.00",$0.00,$0.00,,"$65,000.00",0.25,Bachelor's Degree - Unrelated,Unknown,2021,Tech,,No,501-1000,,,
58,12/7/2021 17:05:15,Remote - US,Software Engineer,"$140,000.00",$0.00,$0.00,,"$140,000.00",4,Bachelor's Degree - Related,Unknown,2021,Tech,,No,11-50,,,
